Model,MAE,RMSE,MAPE,Store_id,Product_id,Forecast_Frequency,Forecast_Horizon,Run_Timestamp
Linear Regression,37.98,43.62,13.03,S005,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,16.16,22.96,4.87,S005,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,34.25,39.27,12.07,S005,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,39.5,43.58,21.68,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,36.62,39.27,19.3,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,19.38,28.09,8.93,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,42.21,48.85,23.75,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,27.83,34.18,13.29,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,20.07,24.49,9.15,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,25.86,28.47,13.24,S005,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,25.38,32.12,25.28,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,17.62,22.74,17.62,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.12,16.59,12.78,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,23.93,31.23,24.08,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,15.71,19.94,15.36,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,10.33,11.45,9.45,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,12.15,18.76,12.84,S005,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,18.25,22.42,20.34,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,15.25,18.37,16.85,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.62,15.74,15.05,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,18.92,23.25,21.09,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,9.94,11.13,9.92,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,7.87,8.57,7.73,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,10.52,11.86,11.3,S005,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,54.25,62.25,19.41,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,55.12,67.35,20.34,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.25,20.96,4.27,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,73.96,88.49,27.68,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,46.55,50.2,15.81,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,16.69,25.33,4.94,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,38.56,46.04,13.83,S005,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,94.88,110.47,34.58,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,61.5,71.45,22.14,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,19.5,25.09,5.94,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,73.25,87.49,26.87,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,44.58,50.06,14.78,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,15.11,19.08,4.64,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,44.47,50.18,15.86,S005,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,106.5,126.46,29.84,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,66.25,82.12,18.75,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,32.75,42.64,8.37,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,89.08,113.01,25.49,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,57.65,61.95,15.39,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,17.74,22.62,4.63,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,45.99,62.27,13.4,S005,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,47.62,51.64,19.46,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,53.25,65.52,22.89,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,18.88,23.9,6.8,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,62.01,75.95,26.65,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,39.85,41.9,15.82,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,18.79,20.67,7.05,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,37.19,41.48,15.35,S005,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,126.12,142.29,36.41,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,73.62,90.2,21.78,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,26.0,33.11,6.36,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,88.37,107.03,26.14,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,51.72,56.36,14.13,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,19.19,23.2,5.1,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,50.79,62.03,15.0,S005,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,33.12,36.78,32.74,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,24.38,27.89,23.63,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,13.75,17.04,12.56,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,31.53,35.27,31.15,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,21.6,23.58,19.91,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,9.98,14.11,8.62,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,20.77,23.51,20.04,S006,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,59.12,74.53,22.0,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,59.12,68.54,21.29,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.62,36.12,9.92,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,64.09,84.43,24.3,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,54.04,56.72,18.15,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,28.16,32.31,8.49,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,46.44,51.81,16.38,S006,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,53.12,63.74,30.72,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,35.5,38.53,19.54,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,18.88,20.26,10.1,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,40.44,48.73,23.43,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,27.82,31.52,14.28,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,15.01,16.58,8.29,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,26.0,30.35,14.73,S006,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,28.25,33.7,27.84,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,19.69,25.53,17.61,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,13.75,15.51,11.56,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,27.15,32.35,26.61,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,16.86,22.75,14.61,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.12,17.11,11.58,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,15.49,20.04,14.36,S006,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,21.62,25.92,25.37,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,19.75,23.17,22.97,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.12,18.54,14.77,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,21.61,25.8,25.32,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,11.34,14.11,11.95,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,12.61,14.7,12.71,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,10.57,12.84,12.12,S006,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,59.88,71.22,22.02,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,62.5,74.75,23.08,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,18.5,21.63,5.84,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,69.72,85.23,25.99,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,45.5,49.77,15.59,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,13.04,17.18,3.84,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,39.78,45.52,14.32,S006,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,52.88,56.27,18.42,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,58.0,64.91,20.92,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,16.5,21.72,5.91,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,76.07,90.2,28.26,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,46.27,48.94,15.88,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,20.81,26.59,6.47,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,41.02,45.47,14.59,S006,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,80.0,84.39,21.17,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,83.19,91.55,22.47,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,33.25,40.62,8.34,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,90.5,109.07,25.26,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,63.61,65.36,15.64,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,35.19,38.8,8.36,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,52.38,54.08,13.53,S006,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,41.25,51.94,16.83,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,36.75,41.7,14.36,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,20.75,22.92,7.79,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,56.74,69.12,22.98,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,30.81,33.08,11.74,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,15.29,17.83,5.25,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,26.2,31.93,10.51,S006,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,67.25,87.08,19.82,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,60.88,74.42,17.62,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,28.0,38.16,7.04,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,80.01,99.89,23.35,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,48.25,50.71,13.03,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,23.07,28.86,5.7,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,39.97,49.5,11.49,S006,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,14.62,17.67,15.31,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,16.88,20.45,18.24,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,16.62,18.27,16.05,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,22.44,28.06,24.73,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,12.66,15.7,13.18,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,11.23,12.58,10.72,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,11.67,15.45,12.55,S007,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,75.25,87.38,30.46,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,47.94,58.45,19.66,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,13.12,17.5,4.61,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,64.99,78.99,26.7,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,37.39,41.65,14.57,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,16.02,18.58,6.18,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,35.9,44.25,14.76,S007,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,43.62,50.18,26.97,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,41.25,46.88,25.31,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,24.0,28.64,12.28,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,42.87,48.89,26.38,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,26.92,32.85,15.32,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,16.09,19.28,8.34,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,27.53,30.36,16.16,S007,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,21.75,23.38,22.13,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,23.38,26.98,26.16,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,9.75,10.77,9.31,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,25.95,32.74,30.36,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,19.98,21.95,20.86,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,8.38,9.87,8.16,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,15.5,17.8,16.87,S007,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,15.75,17.77,17.79,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,15.75,17.51,18.69,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,12.25,13.81,13.24,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,18.28,23.88,24.18,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,12.94,15.12,14.84,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,11.87,13.08,12.54,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,11.67,13.9,13.59,S007,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,50.62,65.79,20.79,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,48.38,56.58,19.12,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,26.0,34.58,8.28,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,62.16,78.1,25.36,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,42.42,44.12,15.75,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.26,19.99,4.51,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,35.84,41.42,14.04,S007,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,68.5,84.07,27.42,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,51.25,63.37,20.5,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,25.12,27.4,8.91,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,59.19,74.19,23.86,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,36.37,42.88,13.54,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,17.45,19.98,6.37,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,34.46,43.13,13.75,S007,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,71.5,81.58,21.41,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,66.88,75.99,19.85,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,25.5,28.24,6.83,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,86.34,102.87,26.38,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,50.42,56.86,14.27,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,21.95,27.67,5.56,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,48.97,53.69,14.3,S007,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,68.62,81.15,32.07,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,55.69,63.38,25.19,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,11.5,15.65,4.23,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,65.1,75.93,30.19,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,45.02,49.38,19.02,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.67,20.67,5.28,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,40.99,45.65,18.32,S007,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,106.5,123.31,34.78,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,69.25,82.66,22.73,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,20.38,24.87,5.55,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,87.56,105.66,29.0,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,52.75,57.13,16.12,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,16.19,18.09,4.65,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,52.01,60.99,16.97,S007,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,40.12,47.77,24.17,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,39.0,44.97,23.18,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,17.88,25.12,8.56,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,42.89,52.04,26.06,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,29.98,32.36,16.03,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,13.43,15.23,6.72,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,27.07,29.62,15.44,S008,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,83.0,102.55,18.34,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,72.06,88.72,15.62,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,34.12,44.48,6.64,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,108.96,127.63,23.99,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,60.03,70.43,12.34,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,30.48,46.19,5.66,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,50.16,64.03,10.83,S008,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,57.0,68.31,20.6,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,57.0,69.06,20.68,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,27.62,30.59,8.45,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,66.6,85.31,24.85,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,49.35,51.94,16.3,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,25.93,29.39,7.85,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,42.22,47.13,14.74,S008,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,42.88,50.3,28.67,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,45.12,56.59,30.98,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,11.38,15.24,7.62,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,50.3,62.77,34.49,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,35.48,38.05,22.54,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,13.59,14.54,8.49,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,32.66,38.67,21.92,S008,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,36.5,42.57,24.86,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Moving Average,33.19,35.2,21.51,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,18.62,23.62,11.08,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Trend,35.36,38.97,23.5,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,26.36,29.47,15.36,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Random Forest,15.42,17.98,8.71,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,23.37,24.69,14.66,S008,P005,weekly,8,2026-06-05 05:22:55.630437
Naive,93.0,105.59,20.24,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Moving Average,85.5,92.08,17.86,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,40.5,43.02,8.12,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Trend,104.31,128.62,23.44,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,69.74,75.67,13.69,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Random Forest,39.27,43.79,7.45,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,56.63,61.19,11.73,S008,P006,weekly,8,2026-06-05 05:22:55.630437
Naive,134.5,160.04,29.71,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Moving Average,93.25,105.18,20.17,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,27.88,35.69,5.03,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Trend,101.59,124.06,22.63,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,70.41,76.65,13.78,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Random Forest,21.27,27.25,4.33,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,64.72,71.32,13.9,S008,P007,weekly,8,2026-06-05 05:22:55.630437
Naive,178.25,213.79,30.85,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Moving Average,136.06,163.75,23.57,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,43.62,51.49,6.28,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Trend,144.94,183.26,25.51,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,99.0,105.08,15.47,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Random Forest,31.07,41.15,4.83,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,93.56,108.1,15.94,S008,P008,weekly,8,2026-06-05 05:22:55.630437
Naive,84.12,93.49,20.57,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Moving Average,79.69,85.72,18.96,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,31.0,34.73,7.09,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Trend,94.74,116.9,24.16,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,65.71,70.98,14.83,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Random Forest,29.19,37.43,5.86,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,56.25,60.01,13.26,S008,P009,weekly,8,2026-06-05 05:22:55.630437
Naive,116.5,141.32,21.23,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Moving Average,124.0,151.68,22.72,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,20.88,29.47,3.28,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Trend,144.49,174.32,26.43,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,88.16,96.38,15.12,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Random Forest,19.9,29.22,2.94,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,78.02,94.7,14.14,S008,P010,weekly,8,2026-06-05 05:22:55.630437
Naive,24.0,28.76,17.3,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Moving Average,25.5,32.39,18.78,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,14.0,16.16,8.94,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Trend,42.88,49.5,30.8,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,18.73,21.53,13.17,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Random Forest,6.72,9.3,4.31,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,17.76,21.54,12.84,S009,P001,weekly,8,2026-06-05 05:22:55.630437
Naive,89.75,110.13,23.57,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Moving Average,78.38,93.01,20.32,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,29.0,32.95,6.8,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Trend,89.61,110.4,23.55,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,57.48,61.39,13.67,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Random Forest,20.05,24.86,4.63,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,49.98,58.95,12.85,S009,P002,weekly,8,2026-06-05 05:22:55.630437
Naive,54.12,64.65,22.37,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Moving Average,49.38,56.5,20.05,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,23.0,33.66,8.05,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Trend,56.32,67.57,23.32,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,36.77,39.39,13.6,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Random Forest,14.97,19.47,5.09,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,34.22,37.81,13.46,S009,P003,weekly,8,2026-06-05 05:22:55.630437
Naive,29.25,32.23,17.61,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Moving Average,29.25,32.46,17.92,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Seasonal Naive,23.12,28.24,12.84,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Trend,33.4,39.85,22.19,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Linear Regression,25.7,30.16,14.52,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Random Forest,19.93,25.62,10.7,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Enhanced Ensemble,23.19,26.98,13.58,S009,P004,weekly,8,2026-06-05 05:22:55.630437
Naive,24.0,26.37,19.04,S009,P005,weekly,8,2026-06-05 05:22:55.630437
